,location,temp,moist
0,강릉,22.1,93
1,강진군,26.4,91
2,강화,25.8,79
3,거제,22.4,97
4,거창,23.7,98
5,경주시,22.5,92
6,고산,26.7,97
7,고창,28.3,83
8,고창군,27.8,82
9,고흥,27.1,87
10,광양시,26.6,87
11,광주,26.7,98
12,구미,23.4,99
13,군산,26.2,88
14,금산,24.5,91
15,김해시,23.3,95
16,남원,24.5,98
17,남해,26.9,85
18,대관령,18.2,98
19,대구,23.3,86
20,대전,25.3,95
21,동두천,26.5,79
22,동해,20.0,97
23,목포,27.8,87
24,문경,22.4,99
25,밀양,23.1,94
26,백령도,24.6,84
27,보령,25.0,90
28,보성군,27.8,91
29,보은,23.7,88
30,봉화,22.3,89
31,부산,22.1,95
32,부안,26.4,94
33,부여,26.5,86
34,북강릉,21.7,91
35,북창원,25.2,95
36,북춘천,26.2,78
37,산청,25.4,93
38,상주,22.8,100
39,서귀포,26.2,99
40,서산,24.6,93
41,서울,25.3,84
42,성산,28.4,85
43,세종,25.7,84
44,속초,21.5,92
45,수원,25.0,96
46,순창군,24.4,99
47,순천,27.1,86
48,안동,23.6,87
49,양산시,23.7,97
50,양평,24.3,91
51,여수,24.7,100
52,영광군,28.2,81
53,영덕,21.6,91
54,영월,24.1,84
55,영주,21.8,99
56,영천,22.0,93
57,완도,25.8,95
58,울릉도,22.6,99
59,울산,22.8,98
60,울진,21.1,92
61,원주,25.4,73
62,의령군,23.7,96
63,의성,23.1,96
64,이천,24.8,97
65,인제,24.8,78
66,인천,25.0,84
67,임실,23.7,96
68,장수,22.7,100
69,장흥,26.4,91
70,전주,26.9,88
71,정선군,23.3,91
72,정읍,26.0,92
73,제주,29.1,77
74,제천,24.4,84
75,진도군,25.8,95
76,진주,24.7,95
77,창원,22.4,92
78,천안,24.8,96
79,철원,25.3,97
80,청송군,22.0,99
81,청주,26.7,79
82,추풍령,22.2,93
83,춘천,26.4,72
84,충주,24.2,88
85,태백,20.5,96
86,통영,23.2,100
87,파주,27.2,76
88,포항,22.6,91
89,함양군,25.6,95
90,합천,24.0,96
91,해남,25.9,96
92,홍성,24.5,94
93,홍천,25.1,80
94,흑산도,22.4,99
